index,lab,univ,name
0,스마트융합공학부 강민성 교수 연구실,한양대학교,강민성 교수
1,EG Lab,홍익대학교,강신진 교수
2,Design for Experience Lab,연세대학교,강연아 교수
3,서비스·디자인공학과 강효진 교수 연구실,성신여자대학교,강효진 교수
4,Visual Computing Lab,아주대학교,경민호 교수
5,게임디자인학과 경병표 교수 연구실,공주대학교,경병표 교수
6,IXLAB,한양대학교,고민삼 교수
7,IoT Standards Lab,경북대학교,고석주 교수
8,iVHCI,UNIST (울산과학기술원),고성안 교수
9,ICT학부 곽노윤 교수 연구실,백석대학교,곽노윤 교수
10,디자인 및 인간공학부 곽영신 교수 연구실,UNIST(울산과학기술원),곽영신 교수
11,지능형 음성대화 인터페이스 연구실,서강대학교,구명완 교수
12,산업미술대학원 구유리 교수 연구실,홍익대학교,구유리 교수
13,Cognitive Computing Lab,서울대학교,권가진 교수
14,기술경영전문대학원 권규현 교수 연구실,한양대학교,권규현 교수
15,ATLAB,SMIT (서울미디어대학원대학교),권두영 교수
16,소프트웨어학과 권종산 교수 연구실,동서대학교,권종산 교수
17,eDseign LAB,상명대학교,권지은 교수
18,디자인컨버전스학부 김건동 교수 연구실,홍익대학교,김건동 교수
19,인터랙티브 미디어 연구실,위덕대학교,김경덕 교수
20,HCI Lab,한양대학교,김광욱 교수
21,Play Lab,한양대학교,김기범 교수
22,창의소프트웨어공학부 김남규 교수 연구실,동의대학교,김남규 교수
23,GSC Lab,숭실대학교,김동호 교수
24,C-Cube Lab,연세대학교,김동환 교수
25,3d Modeling and Processing lab,서울대학교,김명수 교수
26,게임학부 김미진 교수 연구실,동서대학교,김미진 교수
27,소프트웨어공학부 김병철 교수 연구실,중부대학교,김병철 교수
28,Interaction Lab,한국기술교육대학교,김상연 교수
29,Hyper-connected Media Lab,경북대학교,김상욱 교수
30,소프트웨어융합대학 김선정 교수 연구실,한림대학교,김선정 교수
31,EFML,KAIST(한국과학기술원),김성용 교수
32,미래경험디자인랩,국민대학교,김성우 교수
33,ARI Lab,서울대학교,김성우 교수
34,BCI LAB,UNIST(울산과학기술원),김성필 교수
35,산업융합시스템공학부 김성희 교수 연구실,동의대학교,김성희 교수
36,시각커뮤니케이션 / 통합디자인 연구실,연세대학교,김소연 교수
37,산업디자인학과 김숙연 교수 연구실,홍익대학교,김숙연 교수
38,패션디자인학과 김숙진 교수 연구실,세종대학교,김숙진 교수
39,HCIS Lab (Human-Centered Intelligent System Lab),GIST (광주과학기술원),김승준 교수
40,ICT융합전공 김승찬 교수 연구실,한림대학교,김승찬 교수
41,산업심리학과 김신우 교수 연구실,광운대학교,김신우 교수
42,인간-인공지능 인터랙션 연구실,강원대학교,김아욱 교수
43,디자인학부 김억 교수 연구실,한국산업기술대학교,김억 교수
44,기계제어공학부 김영근 교수 연구실,한동대학교,김영근 교수
45,컴퓨터공학과 김영준 교수 연구실,이화여자대학교,김영준 교수
46,HCI Lab,세종대학교,김용국 교수
47,RID(Robot & Interaction Design) Lab,서울과학기술대학교,김원섭 교수
48,Visual Information Processing Lab,건국대학교,김은이 교수
49,소프트웨어융합대학 김은주 교수 연구실,한림대학교,김은주 교수
50,인체공학 연구실,한양대학교,김정룡 교수
51,현대미술학과 김정한 교수 연구실,서울여자대학교,김정한 교수
52,DXP Lab,고려대학교,김정현 교수
53,디자인컨버전스전공 김종민 교수 연구실,홍익대학교,김종민 교수
